competitor,segment,price_min,price_median,price_max,drinks_n,drink_types,vs_our_median,где,аудитория,фишка,сайт
Pretty Bubble Tea,бюджет,300,300.0,300,2,"Фруктовый, Чай базовый",-6%,"ТЦ Москвы, несколько точек","школьники и студенты, ищут недорогой вариант","самые низкие цены на рынке, простое меню без экзотики",
One Price Coffee,бюджет,350,350.0,350,3,"Фруктовый, Матча",+10%,стрит-ритейл и ТЦ,"молодёжь, офисные сотрудники","единая цена на все позиции — 350 ₽, кофе + бабл-ти",
Zin Tea,бюджет,360,360.0,390,4,"Фруктовый/чай, Молочный, Чай базовый",+13%,,молодёжь до 25 лет,акцент на классический молочный чай и базовые вкусы,
Nova,бюджет,390,390.0,390,3,"Матча/тапиока, Молочный/тапиока",+23%,,,"бюджетный сегмент, широкая линейка тапиоки",
PIMS Tea,премиум,300,450.0,550,4,"Матча/молочный, Кремовый/желе, Фруктовый/чай, Кремовый/фруктовый",+42%,,"широкая аудитория, разные ценовые категории",самый широкий ценовой диапазон: от базового до премиум,pimstea.com
Teahiro,премиум,415,510.0,555,4,"Кофейный/тапиока, Фруктовый/йогурт, Фруктовый/кремовый",+60%,,"любители необычных вкусов, готовые платить больше","йогуртовые напитки, кофейная линейка, авторские вкусы",
J'Pan,премиум,550,550.0,550,2,"Матча/кремовый, Кремовый",+73%,,"премиум-сегмент, японская эстетика","японский стиль, матча и кремовые напитки",
Chicha San Chen,премиум,440,570.0,570,3,"Молочный/мусс, Фруктовый/мусс, Кремовый",+79%,,ценители тайваньской культуры чая,"тайваньский бренд, мусс-чаи, аутентичный формат",
Won Cha,премиум,480,570.0,810,5,"Молочный/фруктовый, Чай базовый, Молочный/пудинг, Кремовый премиум",+79%,,"премиум-покупатели, готовые платить до 800 ₽","премиум дальгона-напитки, самый дорогой игрок рынка",
Dav Bubble Tea,средний,450,450.0,450,3,"Матча/тапиока, Молочный/тапиока, Фруктовый",+42%,,,"средний сегмент, фиксированная цена 450 ₽ на всё меню",
Jinju,средний,490,490.0,500,3,"Кофейный/тапиока, Молочный/тапиока, Кремовый",+54%,,"молодёжь 18–30, Instagram-аудитория","кофейно-чайный гибрид, карамельная тапиока",
