ingredient_key,item,category,amount_per_drink,amount_unit,comment
tea_gaba,Чай Габа,Чай,8,g,"Ферментированный чай — фирменная основа PIMS; богат ГАМК"
tea_oolong,Улун,Чай,8,g,"Альтернативная чайная основа; используется в классических PIMS"
tea_black,Чёрный чай,Чай,8,g,"Базовая чайная основа для классического бабл-ти"
tea_jasmine,Жасминовый чай,Чай,8,g,"Ароматная основа; популярна в молочных вариантах"
matcha,Матча,Чай,5,g,"Порошок японского зелёного чая; используется в матча-латте"
milk,Молоко 3.2%,Молочная основа,120,ml,"Молочная часть для молочного бабл-ти"
oat_milk,Овсяное молоко,Молочная основа,120,ml,"Растительная альтернатива молоку"
coconut_milk,Кокосовое молоко,Молочная основа,80,ml,"Используется в тропических вариантах и кокосовом креме"
cream_cheese,Творожный сыр,Крем,30,g,"Основа фирменного крема PIMS (солти и кокосового)"
cream_33,Сливки 33%,Крем,40,ml,"Взбиваются с творожным сыром для кремовой шапки"
coconut_cream,Кокосовые сливки,Крем,30,ml,"Для кокосового варианта крема"
sugar_powder,Сахарная пудра,Крем,10,g,"Подсластитель для крема"
sea_salt,Морская соль,Крем,0.5,g,"Щепотка в солти-крем — фирменная нота PIMS"
tapioca,Тапиока (боба),Топпинг,55,g,"Порция вареных шариков тапиоки"
coconut_jelly,Кокосовое желе,Топпинг,40,g,"Нарезанное кубиками; популярный топпинг PIMS"
aloe_jelly,Желе алоэ,Топпинг,40,g,"Освежающий топпинг; часто в сочетании с колд-брю"
pudding,Пудинг,Топпинг,45,g,"Яичный или молочный пудинг-топпинг"
strawberry_puree,Пюре клубники,Фруктовая база,40,ml,"Фреш-пюре или замороженное; самый популярный вкус PIMS"
mango_puree,Пюре манго,Фруктовая база,40,ml,"Тропический вариант; часто с кокосом"
passion_fruit,Пюре маракуйи,Фруктовая база,30,ml,"Яркий кислый акцент в тропических напитках"
lemon_juice,Лимонный сок,Фруктовая база,15,ml,"Кислотный балансир в фруктовых вариантах"
syrup_vanilla,Ванильный сироп,Сироп,20,ml,"Классический подсластитель"
syrup_lychee,Сироп личи,Сироп,20,ml,"Популярный азиатский вкус"
syrup_brown_sugar,Сироп коричневого сахара,Сироп,25,ml,"Тайгер-сахарный вариант бабл-ти"
ice,Лёд,Прочее,150,g,"Дроблёный или кубиком; обязательный компонент холодного напитка"
cup,Стакан 500 мл,Упаковка,1,pcs,"Одноразовый ПЭТ/PP стакан"
lid,Крышка купольная,Упаковка,1,pcs,"Купольная крышка под трубочку"
straw,Трубочка широкая,Упаковка,1,pcs,"Широкая трубочка для тапиоки (10–12 мм)"
seal_film,Запайочная плёнка,Упаковка,1,pcs,"Термо-запайка вместо крышки (опционально)"
